source,institution,category,raw_record,scraped_at,company,country,value_usd,value_mk,items,title,pdf_link
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,1 | Zanak Pharmaceuticals | Malawi,2026-08-24T00:50:14.648052,Zanak Pharmaceuticals,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,2 | Ritechem Pharmaceuticals | Malawi,2026-08-24T00:50:14.648079,Ritechem Pharmaceuticals,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,3 | Intas Pharmaceuticals Limited | India,2026-08-24T00:50:14.648086,Intas Pharmaceuticals Limited,India,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,4 | Worldwide Pharmaceutical Distributors | Malawi,2026-08-24T00:50:14.648092,Worldwide Pharmaceutical Distributors,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,5 | Maza Medics International | Malawi,2026-08-24T00:50:14.648097,Maza Medics International,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,6 | Premedium Pharmaceuticals Pvt Ltd | Malawi,2026-08-24T00:50:14.648102,Premedium Pharmaceuticals Pvt Ltd,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,7 | HP Pharmaceuticals | Malawi,2026-08-24T00:50:14.648107,HP Pharmaceuticals,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,8 | PharmaChemie Limited | Malawi,2026-08-24T00:50:14.648111,PharmaChemie Limited,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,9 | Esmo International CC | South Africa,2026-08-24T00:50:14.648116,Esmo International CC,South Africa,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,10 | Crown Pharmaceuticals and Research Laboratories Limited | Malawi,2026-08-24T00:50:14.648121,Crown Pharmaceuticals and Research Laboratories Limited,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,11 | Intermed International Commodities Limited | Malawi,2026-08-24T00:50:14.648125,Intermed International Commodities Limited,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,12 | Pharmavet Ltd | Malawi,2026-08-24T00:50:14.648130,Pharmavet Ltd,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,13 | Artemis Pharmaceuticals Ltd | Malawi,2026-08-24T00:50:14.648135,Artemis Pharmaceuticals Ltd,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,14 | IDA Foundation | Netherlands,2026-08-24T00:50:14.648182,IDA Foundation,Netherlands,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,15 | Living Medicals Distribution | Malawi,2026-08-24T00:50:14.648203,Living Medicals Distribution,Malawi,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,16 | DAWA Limited | Kenya,2026-08-24T00:50:14.648209,DAWA Limited,Kenya,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,17 | Angel Biogenics Pvt Ltd | India,2026-08-24T00:50:14.648214,Angel Biogenics Pvt Ltd,India,,,,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"1 | B17 | Angel Biogenics Pvt Ltd | India | 3,386,511.01 | 2,790,485,072.24",2026-08-24T00:50:14.648226,Angel Biogenics Pvt Ltd,India,"3,386,511.01","2,790,485,072.24",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"2 | B16 | DAWA Limited | Kenya | 2,820,513.22 | 2,324,102,893.28",2026-08-24T00:50:14.648236,DAWA Limited,Kenya,"2,820,513.22","2,324,102,893.28",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"3 | B8 | PharmaChemie Limited | Malawi | 2,365,485.00 | 1,949,159,640.00",2026-08-24T00:50:14.648245,PharmaChemie Limited,Malawi,"2,365,485.00","1,949,159,640.00",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"4 | B12 | Pharmavet Ltd | Malawi | 2,475,286.48 | 2,039,636,059.52",2026-08-24T00:50:14.648253,Pharmavet Ltd,Malawi,"2,475,286.48","2,039,636,059.52",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"5 | B4 | Worldwide Pharmaceutical Distributors | Malawi | 1,571,327.44 | 1,294,773,810.56",2026-08-24T00:50:14.648262,Worldwide Pharmaceutical Distributors,Malawi,"1,571,327.44","1,294,773,810.56",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"1 | B10 | SMI Healthcare Ltd | Malawi | 513,413,000.00",2026-08-24T00:50:14.648280,SMI Healthcare Ltd,Malawi,,"513,413,000.00",,,
CMST Malawi,Central Medical Stores Trust (CMST),Medical Consumables & Pharmaceuticals,"2 | B11 | Lab Supplies | Malawi | 31,921,000.00",2026-08-24T00:50:14.648289,Lab Supplies,Malawi,,"31,921,000.00",,,
