Section,Title,Institution,PDF_Link,All_Columns
Intentions to Award,Institution,Reference No.,N/A,Title | Institution | Reference No. | Financial Year | Publish Date | Attachment
Intentions to Award,Kasungu District Council,NLGFC-MOH-WORKS/1-32/2022,https://ppda.mw/storage/documents/intentiontoaward/Notification of Rehabilitation Health facility.pdf,INTENTION TO AWARD ON REHABILITATION OF HALTH FACILITIES | Kasungu District Council | NLGFC-MOH-WORKS/1-32/2022 | 2023/2024 | 2023-07-26 | 
Intentions to Award,Ministry of Health,MOH/NCB/W/GF-GAVI/2022/047,https://ppda.mw/storage/documents/intentiontoaward/Intention to Award  Contracts for  Drilling of Boreholes.pdf,Procurement of Contractors to drill and construct 240 Boreholes in the various health facilities across the Country.. | Ministry of Health | MOH/NCB/W/GF-GAVI/2022/047 | 2022/2023 | 2023-07-27 | 
Intentions to Award,Ministry of Health,MOH/NCB/W/GF-GAVI/2022/047,https://ppda.mw/storage/documents/intentiontoaward/Intention to Award  Contracts for  Drilling of Boreholes.pdf,Intention to award Contracts for Drlling and Construction of 240 Boreholes in  different health facilities across the Country | Ministry of Health | MOH/NCB/W/GF-GAVI/2022/047 | 2022/2023 | 2023-07-27 | 
Intentions to Award,Northern Region Water Board,NRWB/01/23R,https://ppda.mw/storage/documents/intentiontoaward/NORTHERN REGION WATER BOARD Intention to Award.pdf,Procurement of Various Services | Northern Region Water Board | NRWB/01/23R | 2023- 2024 | 2023-08-03 | 
Intentions to Award,Electricity Supply Corporation of Malawi (ESCOM),ESCOM/08/08/2023,https://ppda.mw/storage/documents/intentiontoaward/ESCOM Intention to award 08-08-23.pdf,Provision of Support and Maintenance Services for ESCOM Corporate ICT Network on Framework Contract Agreement and Completion of works for ESCOM corporate ICT network upgrade | Electricity Supply Corporation of Malawi (ESCOM) | ESCOM/08/08/2023 | 2023/2024FY | 2023-08-09 | 
Intentions to Award,Electricity Supply Corporation of Malawi (ESCOM),ESCOM/09/08/2023,https://ppda.mw/storage/documents/intentiontoaward/ESCOM Intention to award 09-08-23.pdf,"Supply, Installation, Commissioning and Training of Core Switches, Supply and Delivery of Servers and Provision of Microsoft Licenses | Electricity Supply Corporation of Malawi (ESCOM) | ESCOM/09/08/2023 | 2023/2024FY | 2023-08-09 | "
Intentions to Award,Ministry of Education,250/IPDC/MoE/MUDEP/CS/IMMU/2023-24/2,https://ppda.mw/storage/documents/intentiontoaward/Intention to Award - CONSULTANCY SERVICES FOR SUPERVISION OF THE CONSTRCUTION OF INKOSI YAMAKHOSI MMBELWA UNIVERSITY.pdf,Consultancy Services for Supervision of Construction of Inkosi Ya Makhosi M'mbelwa University Staff Houses and Hostels | Ministry of Education | 250/IPDC/MoE/MUDEP/CS/IMMU/2023-24/2 | 2023/24 | 2023-08-19 | 
Intentions to Award,Ministry of Natural Resources and Climate Change,MW/MoNRCC/DOF/MWASIP/001/2023,https://ppda.mw/storage/documents/intentiontoaward/Intention to award Notice-MWASIP VEHICLES (2).pdf,Supply and Delivery of Motor Vehicles and Motor Cycles Under MWASIP | Ministry of Natural Resources and Climate Change | MW/MoNRCC/DOF/MWASIP/001/2023 | 2023/24 | 2023-08-24 | 
Intentions to Award,Ministry of Natural Resources and Climate Change,MW/MoNRCC/DOF/TLLP/005/2022,https://ppda.mw/storage/documents/intentiontoaward/Intention to award Notice-TLLP.pdf,Supply and Delivery of Motor Vehicles and Motor Cycles Under Transforming Landscapes and Livelihoods Project (TLLP) | Ministry of Natural Resources and Climate Change | MW/MoNRCC/DOF/TLLP/005/2022 | 2023/24 | 2023-08-24 | 
Intentions to Award,Ministry of Natural Resources and Climate Change,MoNRCC/DoF/MV/2023-24/001,https://ppda.mw/storage/documents/intentiontoaward/Intention to award Notice - FDMF.pdf,Supply and Delivery of Motor Vehicles Under Forestry Development and Management Fund (FDMF) | Ministry of Natural Resources and Climate Change | MoNRCC/DoF/MV/2023-24/001 | 2023/24 | 2023-08-24 | 
Intentions to Award,Electricity Generation Company (EGENCO),"EGC249/S/FY2022-23, EGC548/NCB/RT/W/FY2022-23, EGC512/NCB/W/FY2022-23",https://ppda.mw/storage/documents/intentiontoaward/Intention to Award Various Contracts - Combined Gas Turbine - Kanengo Diesel Engines - Tedzani Dam Repair.pdf,"NOTIFICATION OF INTENTION TO AWARD A CONTRACT | Electricity Generation Company (EGENCO) | EGC249/S/FY2022-23, EGC548/NCB/RT/W/FY2022-23, EGC512/NCB/W/FY2022-23 | 2022-23 | 2023-09-04 | "
Intentions to Award,Lilongwe Water Board,LWB-G-MVMC-23-24,https://ppda.mw/storage/documents/intentiontoaward/ADVERT-Notification of Intention to Award-LWB Motor Vehicles- 05 SEPTEMBER 2023.pdf,Supply and Delivery of Motor Vehicles | Lilongwe Water Board | LWB-G-MVMC-23-24 | 2023/2024 | 2023-09-05 | 
Intentions to Award,Central Region Water Board,PROJECT ID No: P-MW-E00-011,https://ppda.mw/storage/documents/intentiontoaward/NOTICE-DOWA DRCS PROJECT.pdf,CONSULTANCY SERVICES FOR DESIGN REVIEW AND CONSTRUCTION SUPERVISION FOR DOWA TOWN WATER SUPPLY & SANITATION PROJECT | Central Region Water Board | PROJECT ID No: P-MW-E00-011 | 2023/24 | 2023-09-04 | 
Intentions to Award,Chikwawa District Council,NLGFC-MoH-Works/2022,https://ppda.mw/storage/documents/intentiontoaward/NOTIFICATION FOR INTENTION TO AWARD FOR HEALTH REHAB .pdf,Notification of Intention to award Contract for Rehabilitation and Completion of various Health Centres in Chikwawa District | Chikwawa District Council | NLGFC-MoH-Works/2022 | 2023-24 | 2023-09-07 | 
Intentions to Award,Lilongwe Water Board,LWB-W-PFO-ZN-23-01,https://ppda.mw/storage/documents/intentiontoaward/ADVERT - NOTIFICATION OF INTENTION TO AWARD-PREFABRICATED OFFICE-20 SEPTEMBER 2023.pdf,"Design, Supply and Construction of Prefabricated Offices for Lilongwe Water Baord | Lilongwe Water Board | LWB-W-PFO-ZN-23-01 | 2023/2024 | 2023-09-20 | "
Intentions to Award,Electricity Generation Company (EGENCO),EGC281/NCB/S/FY2023-2024,https://ppda.mw/storage/documents/intentiontoaward/Notification of Intention To Award A Contract - Microsoft 365.pdf,Notification of Intention To Award A Contract - Microsoft 365 | Electricity Generation Company (EGENCO) | EGC281/NCB/S/FY2023-2024 | 2023-24 | 2023-09-28 | 
Intentions to Award,Ministry of Education,250/IPDC/MOE/MUDEP/CW/IMMU/23-24/2,https://ppda.mw/storage/documents/intentiontoaward/Intention to award notice .pdf,Construction of Male and Female Hostels for Inkosi Ya Makhosi M'Mbelwa University | Ministry of Education | 250/IPDC/MOE/MUDEP/CW/IMMU/23-24/2 | 2023-24 | 2023-10-25 | 
Intentions to Award,Export Development Fund - EDF,EDF/ERP/03/22,https://ppda.mw/storage/documents/intentiontoaward/NOTICE OF INTENTION TO AWARD - IEMIS.pdf,PROCUREMENT OF IEMIS | Export Development Fund - EDF | EDF/ERP/03/22 | 2023 | 2023-10-25 | 
Intentions to Award,Malawi Investment and Trade Centre,MITC/IPDC/SEZ/WOR/CG09/023,https://ppda.mw/storage/documents/intentiontoaward/Construction of Access Roads at Chigumula Industrial Site.pdf,Construction of Access Roads at Chigumula Industrial Site in Blantyre | Malawi Investment and Trade Centre | MITC/IPDC/SEZ/WOR/CG09/023 | 2023-2024 Financial Year | 2023-10-27 | 
Intentions to Award,Malawi Investment and Trade Centre,MITC/IPDC/SEZ/WWM/CG08/023,https://ppda.mw/storage/documents/intentiontoaward/Construction of Sewer System at Chigumula Industrial Site in Blantyre.pdf,Construction of Sewer System at Chigumula Industrial Site in Blantyre | Malawi Investment and Trade Centre | MITC/IPDC/SEZ/WWM/CG08/023 | 2023-2024 Financial Year | 2023-10-27 | 
Intentions to Award,Malawi Gaming and Lotteries Authority,MGB/IPDC/22/06/005,https://ppda.mw/storage/documents/intentiontoaward/EMS-Intention to award.pdf,NOTIFICATION OF INTENTION TO AWARD CONTRACT | Malawi Gaming and Lotteries Authority | MGB/IPDC/22/06/005 | 2023/24 | 2023-11-01 | 
Intentions to Award,Ministry of Health,031-01-HSJF-GPK-22/23-G-ICB-065,https://ppda.mw/storage/documents/intentiontoaward/INTENTION TO AWARD NOTICE -  KA GAS PLANT.docx.pdf,"Supply, Delivery, Installation and Commissioning of a Pressure Swing Adsorption Gas Generator System for Karonga District Hospital | Ministry of Health | 031-01-HSJF-GPK-22/23-G-ICB-065 | 2023/2024 | 2023-11-04 | "
Intentions to Award,Electricity Generation Company (EGENCO),EGC073/RT- NCB/G/FY2023-24,https://ppda.mw/storage/documents/intentiontoaward/Intention to Award a Contract - Motor Vehicles.pdf,Intention to Award A Contract - Motor Vehicles | Electricity Generation Company (EGENCO) | EGC073/RT- NCB/G/FY2023-24 | 2023-24 | 2023-11-10 | 
Intentions to Award,Ministry of Education,BTTC/CS/TD1/2023/2024,https://ppda.mw/storage/documents/intentiontoaward/INTENTION TO AWARD CONTRACT - 2023.pdf,Intention to award catering services | Ministry of Education | BTTC/CS/TD1/2023/2024 | 2023/24 | 2023-11-24 | 
Intentions to Award,Lilongwe University of Agriculture and Natural Resources -Bunda Campus,LUANAR/QCBS/NP/202202023,https://ppda.mw/storage/documents/intentiontoaward/notification of award- Library (1) PDF.pdf,Design and Supervision of Multi Storey building | Lilongwe University of Agriculture and Natural Resources -Bunda Campus | LUANAR/QCBS/NP/202202023 | 2023-2024 | 2023-11-27 | 
Intentions to Award,Roads Authority,"RA/MAI/2023-24/T/DS/SR/MH/54, RA/MAI/2023-24/T/DS/SR/MH/55, and RA/MAI/2023-24/T/DS/SR/CK/56",https://ppda.mw/storage/documents/intentiontoaward/Notification of Intention to award_04122023_RA Maintenance Works.pdf,"Road and Bridge Maintenance Works | Roads Authority | RA/MAI/2023-24/T/DS/SR/MH/54, RA/MAI/2023-24/T/DS/SR/MH/55, and RA/MAI/2023-24/T/DS/SR/CK/56 | 2023/2024 | 2023-12-05 | "
